employee_id,age,monthly_income,years_at_company,job_satisfaction,performance_rating,overtime,attrition,gender_Male,department_Research & Development,department_Sales,job_role_Human Resources,job_role_Laboratory Technician,job_role_Manager,job_role_Manufacturing Director,job_role_Research Director,job_role_Research Scientist,job_role_Sales Executive,job_role_Sales Representative
1,41,5993,6,4,3,1,1,False,False,True,False,False,False,False,False,False,True,False
2,49,5130,10,2,4,0,0,True,True,False,False,False,False,False,False,True,False,False
3,37,2090,0,3,3,1,1,True,True,False,False,True,False,False,False,False,False,False
4,33,2909,8,3,3,1,0,False,True,False,False,False,False,False,False,True,False,False
5,27,3468,2,2,3,0,0,True,True,False,False,True,False,False,False,False,False,False
6,32,3068,7,4,3,0,0,True,True,False,False,True,False,False,False,False,False,False
7,59,2670,1,1,4,1,0,False,True,False,False,True,False,False,False,False,False,False
8,30,2693,1,3,4,0,0,True,True,False,False,True,False,False,False,False,False,False
9,38,9526,9,3,4,0,0,True,True,False,False,False,False,True,False,False,False,False
10,36,5237,7,3,3,0,0,True,True,False,False,False,False,False,False,False,False,False
11,35,2426,5,2,3,0,0,True,True,False,False,True,False,False,False,False,False,False
12,29,4193,9,3,3,1,0,False,True,False,False,True,False,False,False,False,False,False
13,31,2911,5,3,3,0,0,True,True,False,False,False,False,False,False,True,False,False
14,34,2661,2,4,3,0,0,True,True,False,False,True,False,False,False,False,False,False
15,28,2028,4,3,3,1,1,True,True,False,False,True,False,False,False,False,False,False
16,29,9980,10,1,3,0,0,False,True,False,False,False,False,True,False,False,False,False
17,32,3298,6,2,3,1,0,True,True,False,False,False,False,False,False,True,False,False
18,22,2935,1,4,3,1,0,True,True,False,False,True,False,False,False,False,False,False
19,53,15427,25,4,3,0,0,False,False,True,False,False,True,False,False,False,False,False
20,38,3944,3,4,3,1,0,True,True,False,False,False,False,False,False,True,False,False
21,24,4011,4,3,3,0,0,False,True,False,False,False,False,True,False,False,False,False
22,36,3407,5,1,4,0,1,True,False,True,False,False,False,False,False,False,False,True
23,34,11994,12,2,3,0,0,False,True,False,False,False,False,False,True,False,False,False
24,21,1232,0,4,3,0,0,True,True,False,False,False,False,False,False,True,False,False
25,34,2960,4,1,3,0,1,True,True,False,False,False,False,False,False,True,False,False
26,53,19094,14,3,3,0,0,False,True,False,False,False,True,False,False,False,False,False
27,32,3919,10,1,4,1,1,False,True,False,False,False,False,False,False,True,False,False
28,42,6825,9,2,3,0,0,True,False,True,False,False,False,False,False,False,True,False
29,44,10248,22,4,3,0,0,False,True,False,False,False,False,False,False,False,False,False
30,46,18947,2,1,3,0,0,False,False,True,False,False,True,False,False,False,False,False
31,33,2496,1,4,3,0,0,True,True,False,False,True,False,False,False,False,False,False
32,44,6465,4,4,3,1,0,True,True,False,False,False,False,False,False,False,False,False
33,30,2206,10,3,3,0,0,True,True,False,False,True,False,False,False,False,False,False
34,39,2086,1,4,3,0,1,True,False,True,False,False,False,False,False,False,False,True
35,24,2293,2,4,3,1,1,True,True,False,False,False,False,False,False,True,False,False
36,43,2645,5,3,3,0,0,False,True,False,False,False,False,False,False,True,False,False
37,50,2683,3,3,3,1,1,True,False,True,False,False,False,False,False,False,False,True
38,35,2014,2,4,3,0,0,False,False,True,False,False,False,False,False,False,False,True
39,36,3419,1,1,3,1,0,False,True,False,False,False,False,False,False,True,False,False
40,33,5376,5,1,3,0,0,False,False,True,False,False,False,False,False,False,True,False
41,35,1951,1,4,3,0,0,True,True,False,False,True,False,False,False,False,False,False
42,27,2341,1,1,3,0,0,False,True,False,False,True,False,False,False,False,False,False
43,26,2293,1,3,3,0,1,True,True,False,False,True,False,False,False,False,False,False
44,27,8726,9,3,3,0,0,True,False,True,False,False,False,False,False,False,True,False
45,30,4011,12,4,4,0,0,False,True,False,False,True,False,False,False,False,False,False
46,41,19545,22,3,3,0,1,False,True,False,False,False,False,False,True,False,False,False
47,34,4568,9,3,4,0,0,True,False,True,False,False,False,False,False,False,True,False
48,37,3022,1,2,4,0,0,True,True,False,False,False,False,False,False,True,False,False
49,46,5772,9,4,4,1,0,True,False,True,False,False,False,False,False,False,True,False
50,35,2269,1,4,3,0,0,True,True,False,False,True,False,False,False,False,False,False
51,48,5381,1,3,3,1,1,True,True,False,False,True,False,False,False,False,False,False
52,28,3441,2,3,3,1,1,True,True,False,False,True,False,False,False,False,False,False
53,44,5454,4,1,4,1,0,False,False,True,False,False,False,False,False,False,True,False
54,35,9884,4,1,3,1,0,True,True,False,False,False,False,False,False,False,False,False
